symbol,company_name,series,isin_code,sector
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,EQ,INE726G01019,Life Insurance
ALKEM,Alkem Laboratories Limited,EQ,INE540L01014,Pharmaceuticals
CONCOR,Container Corporation of India Limited,EQ,INE111A01025,Logistics Solution Provider
IRCTC,Indian Railway Catering And Tourism Corporation Limited,EQ,INE335Y01020,Tour Travel Related Services
BERGEPAINT,Berger Paints (I) Limited,EQ,INE463A01038,Paints
SUPREMEIND,Supreme Industries Limited,EQ,INE195A01028,Plastic Products - Industrial
COLPAL,Colgate Palmolive (India) Limited,EQ,INE259A01022,Personal Care
NIACL,The New India Assurance Company Limited,EQ,INE470Y01017,General Insurance
OBEROIRLTY,Oberoi Realty Limited,EQ,INE093I01010,Residential Commercial Projects
BAJAJHFL,Bajaj Housing Finance Limited,EQ,INE377Y01014,Housing Finance Company
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,INE118A01012,Holding Company
JSL,Jindal Stainless Limited,EQ,INE220G01021,Iron & Steel
JSWINFRA,JSW Infrastructure Limited,EQ,INE880J01026,Port & Port services
PHOENIXLTD,The Phoenix Mills Limited,EQ,INE211B01039,Residential Commercial Projects
SBICARD,SBI Cards and Payment Services Limited,EQ,INE018E01016,Non Banking Financial Company (NBFC)
TATAINVEST,Tata Investment Corporation Limited,EQ,INE672A01026,Investment Company
HDBFS,HDB Financial Services Limited,EQ,INE756I01012,Non Banking Financial Company (NBFC)
AIIL,Authum Investment & Infrastructure Limited,EQ,INE206F01022,Non Banking Financial Company (NBFC)
ANTHEM,Anthem Biosciences Limited,EQ,INE0CZ201020,Biotechnology
CRISIL,CRISIL Limited,EQ,INE007A01025,Other Financial Services
SHREECEM,SHREE CEMENT LIMITED,EQ,INE070A01015,Cement & Cement Products
LTTS,L&T Technology Services Limited,EQ,INE010V01017,IT Enabled Services
ACC,ACC Limited,EQ,INE012A01025,Cement & Cement Products
KPRMILL,K.P.R. Mill Limited,EQ,INE930H01031,Other Textile Products
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,INE159A01016,Pharmaceuticals
JKCEMENT,JK Cement Limited,EQ,INE823G01014,Cement & Cement Products
LINDEINDIA,Linde India Limited,EQ,INE473A01011,Industrial Gases
SCHAEFFLER,Schaeffler India Limited,EQ,INE513A01022,Auto Components & Equipments
HONAUT,Honeywell Automation India Limited,EQ,INE671A01010,Industrial Products
BALKRISIND,Balkrishna Industries Limited,EQ,INE787D01026,Tyres & Rubber Products
SUNDARMFIN,Sundaram Finance Limited,EQ,INE660A01013,Non Banking Financial Company (NBFC)
GICRE,General Insurance Corporation of India,EQ,INE481Y01014,General Insurance
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,INE09N301011,Specialty Chemicals
AIAENG,AIA Engineering Limited,EQ,INE212H01026,Castings & Forgings
3MINDIA,3M India Limited,EQ,INE470A01017,Diversified
