week_date,portfolio_nav,weekly_return_pct,cumulative_return_pct,benchmark_level,benchmark_weekly_return_pct,benchmark_cumulative_return_pct,active_return_weekly_pct,active_return_cumulative_pct,num_holdings,cash_pct,num_buys,num_sells,turnover_pct,transaction_cost_inr
2020-02-14,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-02-21,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-02-28,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-03-06,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-03-13,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-03-20,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-03-27,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-04-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-04-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-04-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-04-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-05-01,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-05-08,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-05-15,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-05-22,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-05-29,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-06-05,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-06-12,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-06-19,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-06-26,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-07-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-07-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-07-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-07-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-07-31,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-08-07,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-08-14,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-08-21,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-08-28,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-09-04,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-09-11,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-09-18,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-09-25,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-10-02,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-10-09,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-10-16,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-10-23,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-10-30,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-11-06,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-11-13,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-11-20,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-11-27,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-12-04,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-12-11,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-12-18,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2020-12-25,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-01-01,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-01-08,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-01-15,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-01-22,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-01-29,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-02-05,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-02-12,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-02-19,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-02-26,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-03-05,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-03-12,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-03-19,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-03-26,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-04-02,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-04-09,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-04-16,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-04-23,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-04-30,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-05-07,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-05-14,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-05-21,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-05-28,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-06-04,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-06-11,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-06-18,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-06-25,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-07-02,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-07-09,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-07-16,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-07-23,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-07-30,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-08-06,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-08-13,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-08-20,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-08-27,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-09-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-09-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-09-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-09-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-10-01,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-10-08,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-10-15,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-10-22,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-10-29,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-11-05,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-11-12,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-11-19,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-11-26,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-12-03,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-12-10,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-12-17,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
2021-12-24,25000.0,0.0,0.0,,,,,,0,100.0,0,0,0.0,0.0
